id,time,fine
1,911,6639
2,529,7244
3,117,5509
4,270,6801
5,366,1237
6,782,9875
7,646,8916
8,859,4924
9,58,5810
10,499,3034
11,645,4605
12,35,9729
13,727,5361
14,556,651
15,12,7549
16,187,8419
17,15,8922
18,782,716
19,516,8131
20,719,51
21,925,2233
22,148,6500
23,775,3923
24,732,6358
25,391,1185
26,789,9582
27,310,5036
28,396,5175
29,178,4388
30,936,303
31,74,5189
32,462,6122
33,189,3440
34,570,1243
35,293,7056
36,289,3640
37,140,7570
38,492,6788
39,146,7914
40,98,7575
41,156,2536
42,923,4887
43,413,2817
44,204,670
45,325,8590
46,778,5491
47,964,8750
48,189,591
49,833,7505
50,560,110
51,749,9478
52,399,3848
53,988,3888
54,154,1242
55,816,133
56,20,3603
57,489,2323
58,491,9295
59,316,1254
60,843,5046
61,536,3640
62,389,9973
63,563,4851
64,355,929
65,38,2396
66,225,6915
67,114,4787
68,26,1623
69,216,453
70,585,9531
71,134,4383
72,705,5957
73,251,7974
74,227,8195
75,240,1566
76,558,9070
77,42,127
78,977,298
79,227,5956
80,703,3684
81,950,8616
82,754,2927
83,901,4063
84,516,1132
85,662,6468
86,850,1452
87,408,3795
88,121,7554
89,100,9010
90,928,7347
91,768,1691
92,169,8485
93,134,8161
94,117,3146
95,181,2712
96,328,8819
97,98,130
98,192,1081
99,212,5350
100,818,5059
101,863,9226
102,372,2667
103,573,6622
104,984,7492
105,839,5024
106,715,8911
107,747,3958
108,119,4883
109,380,8880
110,592,2587
111,405,7560
112,689,9271
113,351,5854
114,204,8233
115,643,8915
116,140,3021
117,687,8857
118,479,7511
119,355,2259
120,635,7462
121,724,2545
122,502,349
123,583,6470
124,701,8620
125,558,2315
126,226,9644
127,914,8963
128,816,267
129,851,5617
130,531,6019
131,391,845
132,702,9022
133,884,1078
134,688,5180
135,993,4238
136,134,3322
137,22,1716
138,537,9636
139,607,7957
140,271,6237
141,233,2165
142,479,6496
143,114,1146
144,762,2294
145,665,7964
146,809,7644
147,17,55
148,484,4862
149,393,2253
150,842,7172
151,845,5385
152,452,5976
153,611,6867
154,823,4340
155,928,6569
156,733,1445
157,292,9160
158,306,6211
159,857,7406
160,721,3419
161,415,5873
162,279,6881
163,742,431
164,683,9763
165,286,8134
166,870,5525
167,852,6482
168,348,9673
169,12,3462
170,382,4522
171,318,940
172,451,5115
173,677,6610
